NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Constantino, Hernández",M,US,Volunteer,Thermal limits Zingiberales,Phylogenetic constraints or environmental filtering? thermal tolerance of tropical plants along an elevational gradient and its implication for global warming,05/11/2019,10/31/2019,"Global warming, temperature, chlorophyll fluorescence, heat tolerance, Phylogenetic signal, thermal limits, thermal tolerance, ",La Selva,University of Connecticut,US,OTS - OET,Finished,-72.2539805,41.8077414
"Georgia, Hernández",F,CR,Principal Investigator,Thermal limits Zingiberales,Phylogenetic constraints or environmental filtering? thermal tolerance of tropical plants along an elevational gradient and its implication for global warming,05/11/2019,10/31/2019,"Global warming, temperature, chlorophyll fluorescence, heat tolerance, Phylogenetic signal, thermal limits, thermal tolerance, ",La Selva,University of Connecticut,US,OTS - OET,Finished,-72.2539805,41.8077414
"Jeff, Seemann",M,US,Advisor,Thermal limits Zingiberales,Phylogenetic constraints or environmental filtering? thermal tolerance of tropical plants along an elevational gradient and its implication for global warming,05/11/2019,10/31/2019,"Global warming, temperature, chlorophyll fluorescence, heat tolerance, Phylogenetic signal, thermal limits, thermal tolerance, ",La Selva,University of Connecticut,US,OTS - OET,Finished,-72.2539805,41.8077414
"Kenji, Nishida",M,JP,Principal Investigator,Auchenorrhyncha & Cercopoidea,"La distribución, la biología, y la ecología de las especies de Auchenorrhyncha y Cercopoidea (Insecta: Hemiptera) en Costa Rica",05/10/2019,11/09/2019,"Auchenorrhyncha, Biologia, Cercopoidea, Ecologia, Evolucion, Taxonomia",Las Cruces,Universidad de Costa Rica,CR,Personal Funding,Finished,-84.0510284,9.9369824
"Amanda, Martinez",F,US,Field Assistant,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"Ari, Martinez",M,US,Principal Investigator,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"Brienne, Cortez",F,US,Field Assistant,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"Carmen, Tascon",F,US,Field Assistant,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"Jade, Roman",F,US,Field Assistant,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"Matthew, Olivarria",M,US,Field Assistant,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"Mayra, Miranda",F,US,Field Assistant,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"Rebecca, Tarvin",F,US,Co-PI,Aposematismo,Evaluación de alkaloides como señal de advertencia en O. pumilio,03/30/2019,10/23/2019,"Aposematismo , senales visuales, senales de olfacto ,  depredacion multi-modal",La Selva,"California State University, Long Beach",US,California State University Long Beach,Finished,-118.1140904,33.7838235
"John, Cossel, Jr",M,US,Principal Investigator,Frog vocalizations,Bioacoustics of Costa Rican Anurans,05/13/2019,12/31/2020,"vocalizations, advertisement calls, frogs, integrative taxonomy",La Selva,Northwest Nazarene University,US,Northwest Nazarene University,Approved,-116.5665422,43.5614811
