NAME,GENDER,NACIONALITY,ROLE,ACRONYM,OFICIAL_NAME,START_DATE,END_DATE,TOPICS,STATION,INSTITUTIONS_LEAD,INST_LEAD_COUNTRY,FUNDING_SOURCES,Finished,lon,lat
"Lucinda, McDade",F,US,Co-PI,Justicia project,New World Justicia s.l.: A microcosm for understanding covariation of floral traits and pollinators in a phylogenetic context. ,02/01/2019,02/01/2022,"Neotropical Justicia, floral evolution, micromorphology, taxonomy",La Selva,Rancho Santa Ana Botanic Garden,US,National Science Foundation NSF,Approved,-117.7151022,34.1105943
"Alberth, Rojas",M,CR,Principal Investigator,Turismo Científico en la Selva,"Caracterización de los aportes del turismo científico de la Organización para Estudios Tropicales (OET) en la Estación Biológica La Selva para proponer estrategias que potencien sus impactos sociales, ambientales y económicos",12/20/2018,02/28/2019,"Turismo, turismo científico, ",La Selva,Universidad para la Cooperación Internacional,CR,,Finished,-84.0615733,9.938502
"CARRIE, KIEL",F,US,Principal Investigator,Justicia project,New World Justicia s.l.: A microcosm for understanding covariation of floral traits and pollinators in a phylogenetic context. ,02/01/2019,02/01/2022,"Neotropical Justicia, floral evolution, micromorphology, taxonomy",Palo Verde,Rancho Santa Ana Botanic Garden,US,National Science Foundation NSF,Approved,-117.7151022,34.1105943
"Lucinda, McDade",F,US,Co-PI,Justicia project,New World Justicia s.l.: A microcosm for understanding covariation of floral traits and pollinators in a phylogenetic context. ,02/01/2019,02/01/2022,"Neotropical Justicia, floral evolution, micromorphology, taxonomy",Palo Verde,Rancho Santa Ana Botanic Garden,US,National Science Foundation NSF,Approved,-117.7151022,34.1105943
"CARRIE, KIEL",F,US,Principal Investigator,Justicia project,New World Justicia s.l.: A microcosm for understanding covariation of floral traits and pollinators in a phylogenetic context. ,02/01/2019,02/01/2022,"Neotropical Justicia, floral evolution, micromorphology, taxonomy",Las Cruces,Rancho Santa Ana Botanic Garden,US,National Science Foundation NSF,Approved,-117.7151022,34.1105943
"Lucinda, McDade",F,US,Co-PI,Justicia project,New World Justicia s.l.: A microcosm for understanding covariation of floral traits and pollinators in a phylogenetic context. ,02/01/2019,02/01/2022,"Neotropical Justicia, floral evolution, micromorphology, taxonomy",Las Cruces,Rancho Santa Ana Botanic Garden,US,National Science Foundation NSF,Approved,-117.7151022,34.1105943
"Gal, Zanir",M,IL,Field Assistant,WWMDB,WORLD WILDLIFE METABIOME DATABASE,03/01/2019,09/01/2019,"Microbiome , Wildlife , Metabiome , 
",La Selva,AUGMANITY NANO,IL,AUGMANITY NANO ,Finished,34.8051502,31.9122495
"Gal, Zanir",M,IL,Principal Investigator,WWMDB,WORLD WILDLIFE METABIOME DATABASE,03/01/2019,09/01/2019,"Microbiome , Wildlife , Metabiome , 
",La Selva,AUGMANITY NANO,IL,AUGMANITY NANO ,Finished,34.8051502,31.9122495
"Gal, Zanir",M,IL,Field Assistant,WWMDB,WORLD WILDLIFE METABIOME DATABASE,03/01/2019,09/01/2019,"Microbiome , Wildlife , Metabiome , 
",Palo Verde,AUGMANITY NANO,IL,AUGMANITY NANO ,Finished,34.8051502,31.9122495
"Gal, Zanir",M,IL,Principal Investigator,WWMDB,WORLD WILDLIFE METABIOME DATABASE,03/01/2019,09/01/2019,"Microbiome , Wildlife , Metabiome , 
",Palo Verde,AUGMANITY NANO,IL,AUGMANITY NANO ,Finished,34.8051502,31.9122495
"Gal, Zanir",M,IL,Field Assistant,WWMDB,WORLD WILDLIFE METABIOME DATABASE,03/01/2019,09/01/2019,"Microbiome , Wildlife , Metabiome , 
",Las Cruces,AUGMANITY NANO,IL,AUGMANITY NANO ,Finished,34.8051502,31.9122495
"Gal, Zanir",M,IL,Principal Investigator,WWMDB,WORLD WILDLIFE METABIOME DATABASE,03/01/2019,09/01/2019,"Microbiome , Wildlife , Metabiome , 
",Las Cruces,AUGMANITY NANO,IL,AUGMANITY NANO ,Finished,34.8051502,31.9122495
"Mark, Janowiecki",M,US,Student,Termite 2019,An investigation of the termites in La Selva and a comparison of the influence of soldier presence in the tunneling behavior of a higher and lower termite,03/01/2019,05/31/2019,"Termite, tunneling, foraging, abundance, diversity",La Selva,Texas AandM University,US,Organization for Tropical Studies,Finished,-96.3364772,30.6187558
"Wagner, Chaves",M,CR,Principal Investigator,Oofagia en la Rana de Bromelia de Picado,Provisión de huevos tróficos en la Rana de Bromelia de Picado Isthmohyla picadoi (Anura: Hylidae) en un bosque de roble enano,01/08/2019,12/24/2019,"Cuidado parental, Hylidae, Oofagia larval, Fitotelmata",Las Cruces,Universidad de Costa Rica,CR,Organization for Tropical Studies,Finished,-84.0510284,9.9369824
"Elizabeth, Clifton",F,US,Principal Investigator,Ant battles,An Empirical and Mechanistic test of Lanchesters models of combat in collective group fighting,02/18/2019,07/26/2019,social insects; termites; ants; Lanchester laws,La Selva,University of Connecticut,US,OTS - OET,Finished,-72.2539805,41.8077414
"Maria Fernanda, Guizar Amador",F,MX,Student,Ecologia Gongora,La base ecologica de la diferenciacion ecotipica en el genero de orquideas Gongora,02/28/2019,08/28/2021,"Gongora, euglossine bees, floral traits, cryptic species, ecotypes, florivores, weevils, phylogenies",La Selva,"University of California, Davis ( UC Davis )",US,NSF,Approved,-121.7617125,38.5382322
"Santiago, Ramirez",M,CO,Principal Investigator,Ecologia Gongora,La base ecologica de la diferenciacion ecotipica en el genero de orquideas Gongora,02/28/2019,08/28/2021,"Gongora, euglossine bees, floral traits, cryptic species, ecotypes, florivores, weevils, phylogenies",La Selva,"University of California, Davis ( UC Davis )",US,NSF,Approved,-121.7617125,38.5382322
"Matthew, Rockman",M,US,Principal Investigator,Caenorhabditis survey,Characterization of Caenorhabditis nematode diversity and distribution in Costa Rica,07/12/2019,07/19/2019,"Nematode, Caenorhabditis, diversity",La Selva,New York University,US,National Institutes of Health; Startup account,Finished,-73.9964609,40.7295134
"Diego, Dierick",M,BE,Collaborator,Validation CO2bie,Validation of a low-cost instrument to measure soil carbon dioxide fluxes,12/15/2018,06/15/2019,"Soil respiration
CO2 flux
Instrumentation",La Selva,University of Wyoming,US,NSF,Finished,-105.5665744,41.3148754
"Matthew, Rockman",M,US,Principal Investigator,Caenorhabditis survey,Characterization of Caenorhabditis nematode diversity and distribution in Costa Rica,07/05/2019,07/12/2019,"Nematode, Caenorhabditis, diversity",Las Cruces,New York University,US,National Institutes of Health; Startup account,Finished,-73.9964609,40.7295134
